Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
6.9652,11.586,11.699,11.823,1.0152,11.823,3.0556,11.586,10.988,-1.1277,19.739,7.935,15.48,18.785,2.9851,13.591,9.9832,8.0,15.776,14.213,0.0
0.0,4.7896,7.7778,5.9113,-5.0761,5.9113,-4.2361,4.7896,1.943,-2.1227,10.915,-2.7967,6.6992,7.9475,-2.9851,1.9968,2.9481,-4.0,7.8548,7.1066,-5.9113
-3.9801,1.877,-0.06536,1.9704,-6.0914,1.9704,-9.4444,1.877,-8.1072,-0.13267,7.9739,-9.626,1.8211,2.0361,-5.9701,-5.7327,1.943,-9.0,3.8944,2.0305,-7.8818
-2.9851,3.8188,1.8954,3.9409,-2.0305,3.9409,-5.2778,3.8188,-13.132,5.8375,13.856,-6.6992,8.6504,1.0509,-3.9801,-5.7327,6.9682,-7.0,4.8845,4.0609,-2.9557
-8.9552,4.7896,5.817,6.8966,1.0152,6.8966,-2.1528,4.7896,-13.132,4.8425,9.9346,-8.6504,10.602,-9.7865,-7.9602,-13.462,5.9631,-13.0,-3.0363,6.0914,-0.98522
-12.935,6.7314,5.817,7.8818,3.0457,7.8818,-1.1111,6.7314,-19.162001,2.8524,-7.7124,-13.528,5.7236,-23.58,-12.935,-23.124001,3.9531,-18.0,-10.957,5.0761,-0.98522
-3.9801,8.6731,9.7386,9.8522,7.1066,9.8522,3.0556,8.6731,1.943,8.8226,-4.7712,-8.6504,6.6992,-21.608999,-4.9751,-20.225,9.9832,-10.0,-4.0264,9.1371,3.9409
6.9652,10.615,11.699,11.823,11.168,11.823,5.1389,10.615,26.063999,13.798,6.0131,3.0569,9.626,-10.772,3.9801,-8.6312,16.013,1.0,6.8647,12.183,6.8966
12.935,10.615,9.7386,10.837,12.183,10.837,5.1389,10.615,21.039,13.798,9.9346,8.9106,13.528,4.9918,7.9602,6.8277,17.018,9.0,13.795,14.213,6.8966
15.92,10.615,9.7386,9.8522,13.198,9.8522,3.0556,10.615,-6.0972,9.8176,17.778,8.9106,15.48,23.711,5.9701,23.253,17.018,13.0,20.726,15.228,5.9113
15.92,10.615,10.719,9.8522,11.168,9.8522,2.0139,10.615,-13.132,4.8425,23.66,11.837,21.333,34.548,3.9801,30.982,16.013,14.0,24.686001,15.228,2.9557
12.935,10.615,12.68,10.837,7.1066,10.837,2.0139,10.615,-3.0821,0.86235,24.641001,10.862,23.285,30.608,3.9801,26.150999,11.993,11.0,21.716,14.213,-0.98522
5.9701,8.6731,12.68,9.8522,3.0457,9.8522,2.0139,8.6731,11.993,-2.1227,21.698999,8.9106,12.553,20.754999,1.99,16.49,5.9631,4.0,14.785,11.168,-3.9409
0.0,5.7605,13.66,8.867,0.0,8.867,0.97222,5.7605,0.93802,-4.1128,13.856,4.0325,3.7724,13.859,-0.99502,8.7601,0.93802,-3.0,7.8548,6.0914,-3.9409
-4.9751,5.7605,9.7386,7.8818,-1.0152,7.8818,-1.1111,5.7605,-11.122,-6.1028,5.0327,-5.7236,0.84553,4.0066,-5.9701,-0.90177,-4.0871,-10.0,0.92409,3.0457,-4.9261
-12.935,7.7023,1.8954,7.8818,-3.0457,7.8818,-6.3194,7.7023,-3.0821,-12.073,-9.6732,-12.553,-0.13008,-10.772,-10.945,-12.496,-9.1122,-17.0,-10.957,3.0457,-7.8818
-8.9552,11.586,6.7974,10.837,1.0152,10.837,-3.1944,11.586,10.988,-8.0929,-8.6928,-4.748,5.7236,-18.653999,-4.9751,-15.395,-4.0871,-10.0,-11.947,5.0761,-4.9261
0.99502,14.498,14.641,17.733999,3.0457,17.733999,4.0972,14.498,11.993,-0.13267,-3.7908,-1.8211,13.528,-18.653999,0.99502,-12.496,3.9531,-4.0,-5.0165,7.1066,0.0
