Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
26.865999,12.557,10.719,11.823,21.32,11.823,20.764,12.557,25.059,22.753,21.698999,17.691,9.626,23.711,21.891001,23.253,21.039,21.0,24.686001,10.152,21.674999
24.875999,10.615,8.7582,10.837,18.274,10.837,16.597,10.615,7.9732,18.773001,20.719,18.667,6.6992,25.681,16.915001,24.219,18.023001,20.0,22.705999,9.1371,18.719
21.891001,11.586,8.7582,12.808,15.228,12.808,15.556,11.586,9.9832,15.788,20.719,19.642,6.6992,28.636999,13.93,24.219,15.008,18.0,21.716,7.1066,15.764
17.91,12.557,2.8758,12.808,14.213,12.808,14.514,12.557,5.9631,13.798,16.797001,8.9106,3.7724,28.636999,10.945,22.287001,11.993,13.0,19.736,5.0761,16.749001
12.935,11.586,-2.0261,10.837,14.213,10.837,14.514,11.586,-10.117,14.793,12.876,-2.7967,-0.13008,21.740999,8.9552,15.523,9.9832,7.0,15.776,3.0457,17.733999
10.945,11.586,0.91503,10.837,14.213,10.837,17.639,11.586,-1.072,17.778,11.895,4.0325,-0.13008,15.829,12.935,12.625,10.988,9.0,13.795,5.0761,19.704
5.9701,6.7314,4.8366,7.8818,13.198,7.8818,13.472,6.7314,12.998,14.793,8.9542,5.0081,0.84553,10.903,10.945,11.659,7.9732,8.0,9.835,7.1066,15.764
2.9851,1.877,0.91503,0.98522,11.168,0.98522,8.2639,1.877,11.993,12.803,8.9542,4.0325,-0.13008,9.9179,7.9602,8.7601,6.9682,5.0,6.8647,6.0914,11.823
9.9502,4.7896,3.8562,3.9409,12.183,3.9409,10.347,4.7896,6.9682,16.783001,18.757999,11.837,8.6504,15.829,13.93,13.591,11.993,11.0,13.795,10.152,13.793
11.94,4.7896,1.8954,2.9557,9.1371,2.9557,8.2639,4.7896,8.9782,15.788,17.778,12.813,7.6748,13.859,13.93,14.557,11.993,12.0,13.795,7.1066,11.823
11.94,1.877,-0.06536,0.0,7.1066,0.0,5.1389,1.877,8.9782,15.788,9.9346,12.813,3.7724,9.9179,11.94,13.591,11.993,12.0,11.815,3.0457,9.8522
10.945,1.877,-1.0458,0.0,6.0914,0.0,3.0556,1.877,-0.067,14.793,11.895,15.74,9.626,9.9179,10.945,13.591,11.993,12.0,12.805,3.0457,8.867
7.9602,2.8479,-2.0261,0.0,5.0761,0.0,2.0139,2.8479,4.9581,13.798,7.9739,12.813,5.7236,8.9327,8.9552,13.591,10.988,11.0,10.825,4.0609,6.8966
4.9751,3.8188,-0.06536,0.98522,7.1066,0.98522,2.0139,3.8188,9.9832,10.813,5.0327,16.715,4.748,6.9622,7.9602,13.591,9.9832,13.0,8.8449,5.0761,6.8966
2.9851,2.8479,0.91503,0.0,7.1066,0.0,3.0556,2.8479,16.013,9.8176,7.9739,15.74,7.6748,6.9622,8.9552,13.591,9.9832,13.0,8.8449,6.0914,5.9113
1.99,-1.0356,0.91503,-1.9704,6.0914,-1.9704,3.0556,-1.0356,16.013,7.8275,6.9935,12.813,4.748,6.9622,7.9602,13.591,10.988,11.0,7.8548,3.0457,4.9261
0.99502,-0.06472,3.8562,0.0,6.0914,0.0,5.1389,-0.06472,9.9832,8.8226,12.876,12.813,8.6504,7.9475,6.9652,13.591,11.993,10.0,8.8449,7.1066,6.8966
5.9701,4.7896,6.7974,4.9261,12.183,4.9261,11.389,4.7896,5.9631,10.813,22.68,15.74,14.504,15.829,7.9602,15.523,16.013,11.0,15.776,14.213,12.808
6.9652,5.7605,4.8366,4.9261,14.213,4.9261,10.347,5.7605,-7.1022,7.8275,21.698999,7.935,15.48,15.829,2.9851,8.7601,14.003,4.0,15.776,16.243999,13.793
4.9751,4.7896,-1.0458,1.9704,12.183,1.9704,5.1389,4.7896,-3.0821,1.8574,15.817,-2.7967,13.528,14.844,-0.99502,3.9291,8.9782,-2.0,13.795,13.198,9.8522
8.9552,4.7896,0.91503,1.9704,12.183,1.9704,4.0972,4.7896,15.008,2.8524,15.817,1.1057,18.407,16.813999,0.99502,6.8277,9.9832,2.0,13.795,12.183,7.8818
9.9502,4.7896,-0.06536,1.9704,10.152,1.9704,3.0556,4.7896,10.988,2.8524,12.876,6.9593,13.528,14.844,1.99,10.692,7.9732,7.0,10.825,10.152,5.9113
10.945,7.7023,1.8954,4.9261,13.198,4.9261,3.0556,7.7023,7.9732,4.8425,11.895,15.74,9.626,14.844,2.9851,17.455999,7.9732,14.0,10.825,13.198,8.867
13.93,5.7605,-1.0458,2.9557,11.168,2.9557,-0.06944,5.7605,2.9481,4.8425,13.856,19.642,4.748,17.799999,2.9851,22.287001,6.9682,17.0,13.795,12.183,6.8966
14.925,1.877,-5.9477,-0.98522,5.0761,-0.98522,-4.2361,1.877,0.93802,2.8524,12.876,14.764,0.84553,19.77,1.99,23.253,3.9531,17.0,15.776,5.0761,1.9704
13.93,-0.06472,-7.9085,-2.9557,1.0152,-2.9557,-5.2778,-0.06472,2.9481,0.86235,9.9346,12.813,-0.13008,16.813999,0.99502,21.32,1.943,16.0,12.805,1.0152,0.0
8.9552,-1.0356,-8.8889,-3.9409,-5.0761,-3.9409,-9.4444,-1.0356,6.9682,-3.1177,3.0719,16.715,-0.13008,10.903,-0.99502,16.49,-3.0821,12.0,6.8647,-4.0609,-4.9261
5.9701,-2.9773,-9.8693,-4.9261,-11.168,-4.9261,-10.486,-2.9773,14.003,-5.1078,3.0719,13.789,-1.1057,8.9327,-1.99,13.591,-5.0921,10.0,4.8845,-7.1066,-8.867
